County,Stage,Percent
Broome,Local,73.9
Cattaraugus,Local,69.3
Cayuga,Local,74.8
Chautauqua,Local,72
Chemung,Local,65.6
Chenango,Local,68.5
Clinton,Local,64.3
Columbia,Local,70.2
Cortland,Local,69.7
Delaware,Local,68.6
Dutchess,Local,69.5
Erie,Local,67.8
Essex,Local,62.7
Franklin,Local,70.7
Fulton,Local,71.4
Genesee,Local,72.9
Greene,Local,71
Hamilton,Local,61.3
Herkimer,Local,70.8
Jefferson,Local,65.4
Bronx,Local,61.4
Lewis,Local,69
Livingston,Local,79.4
Madison,Local,67.8
Monroe,Local,73.5
Montgomery,Local,63.7
Nassau,Local,70.4
Niagara,Local,69.3
Oneida,Local,70.8
Onondaga,Local,72.7
Ontario,Local,77.6
Kings,Local,61.6
Orange,Local,65.5
Orleans,Local,70.3
Oswego,Local,73.9
Otsego,Local,67.8
Putnam,Local,69.3
Rensselaer,Local,69.8
Rockland,Local,69.8
St. Lawrence,Local,69.6
Saratoga,Local,71.3
Schenectady,Local,70.6
New York,Local,69.1
Schoharie,Local,73.4
Schuyler,Local,70.9
Seneca,Local,76.2
Steuben,Local,69.1
Suffolk,Local,69.7
Sullivan,Local,58.1
Tioga,Local,69.1
Tompkins,Local,69.1
Ulster,Local,64
Warren,Local,70.6
Queens,Local,65.9
Washington,Local,74.6
Wayne,Local,66.7
Westchester,Local,69.4
Wyoming,Local,65.3
Yates,Local,74.5
Richmond,Local,66.8
Albany,Local,71.3
Allegany,Local,74.4
Broome,Regional,20.3
Cattaraugus,Regional,20.9
Cayuga,Regional,20.9
Chautauqua,Regional,20.9
Chemung,Regional,26.3
Chenango,Regional,25.5
Clinton,Regional,26.4
Columbia,Regional,22.9
Cortland,Regional,23.9
Delaware,Regional,20.6
Dutchess,Regional,21.7
Erie,Regional,22.1
Essex,Regional,28.4
Franklin,Regional,22.1
Fulton,Regional,16.9
Genesee,Regional,20.6
Greene,Regional,22.2
Hamilton,Regional,12.9
Herkimer,Regional,21
Jefferson,Regional,25.6
Bronx,Regional,28.1
Lewis,Regional,21.4
Livingston,Regional,15.5
Madison,Regional,27.7
Monroe,Regional,21.1
Montgomery,Regional,25.1
Nassau,Regional,22.2
Niagara,Regional,22.5
Oneida,Regional,21.1
Onondaga,Regional,21.1
Ontario,Regional,16.7
Kings,Regional,27.8
Orange,Regional,25.1
Orleans,Regional,22.7
Oswego,Regional,20.2
Otsego,Regional,26.1
Putnam,Regional,23
Rensselaer,Regional,24.2
Rockland,Regional,22.7
St. Lawrence,Regional,24.9
Saratoga,Regional,23.5
Schenectady,Regional,21.9
New York,Regional,22.1
Schoharie,Regional,22.1
Schuyler,Regional,25.2
Seneca,Regional,21
Steuben,Regional,25.1
Suffolk,Regional,23
Sullivan,Regional,27.8
Tioga,Regional,23.3
Tompkins,Regional,26.5
Ulster,Regional,26.7
Warren,Regional,21.9
Queens,Regional,25.1
Washington,Regional,20.4
Wayne,Regional,27.3
Westchester,Regional,22.4
Wyoming,Regional,21.3
Yates,Regional,20
Richmond,Regional,23.6
Albany,Regional,22.5
Allegany,Regional,17
Broome,Distant,4.6
Cattaraugus,Distant,7.5
Cayuga,Distant,3.2
Chautauqua,Distant,4.3
Chemung,Distant,6.6
Chenango,Distant,4
Clinton,Distant,6.1
Columbia,Distant,6
Cortland,Distant,6.5
Delaware,Distant,8.1
Dutchess,Distant,5.8
Erie,Distant,5.9
Essex,Distant,7.5
Franklin,Distant,5.5
Fulton,Distant,8.5
Genesee,Distant,4.3
Greene,Distant,6
Hamilton,Distant,12.9
Herkimer,Distant,6.3
Jefferson,Distant,5.7
Bronx,Distant,7.6
Lewis,Distant,7.1
Livingston,Distant,3.5
Madison,Distant,2.8
Monroe,Distant,4
Montgomery,Distant,7.2
Nassau,Distant,5.4
Niagara,Distant,4.4
Oneida,Distant,6.4
Onondaga,Distant,4.7
Ontario,Distant,4.4
Kings,Distant,7.2
Orange,Distant,6.1
Orleans,Distant,5.4
Oswego,Distant,5.2
Otsego,Distant,5
Putnam,Distant,5.2
Rensselaer,Distant,5.1
Rockland,Distant,6.1
St. Lawrence,Distant,4.5
Saratoga,Distant,4.3
Schenectady,Distant,5.2
New York,Distant,5.2
Schoharie,Distant,3.9
Schuyler,Distant,2.9
Seneca,Distant,2.8
Steuben,Distant,4.6
Suffolk,Distant,5.4
Sullivan,Distant,10.6
Tioga,Distant,5.2
Tompkins,Distant,3.4
Ulster,Distant,6.1
Warren,Distant,5.2
Queens,Distant,6.1
Washington,Distant,3.2
Wayne,Distant,4.5
Westchester,Distant,5.3
Wyoming,Distant,9.4
Yates,Distant,4.5
Richmond,Distant,6.8
Albany,Distant,4.9
Allegany,Distant,6.3
Broome,Unknown,1.2
Cattaraugus,Unknown,2.3
Cayuga,Unknown,1.1
Chautauqua,Unknown,2.8
Chemung,Unknown,1.5
Chenango,Unknown,2
Clinton,Unknown,3.2
Columbia,Unknown,0.9
Cortland,Unknown,0
Delaware,Unknown,2.7
Dutchess,Unknown,3
Erie,Unknown,4.2
Essex,Unknown,1.5
Franklin,Unknown,1.7
Fulton,Unknown,3.2
Genesee,Unknown,2.2
Greene,Unknown,0.8
Hamilton,Unknown,12.9
Herkimer,Unknown,1.8
Jefferson,Unknown,3.2
Bronx,Unknown,2.8
Lewis,Unknown,2.4
Livingston,Unknown,1.6
Madison,Unknown,1.7
Monroe,Unknown,1.4
Montgomery,Unknown,4
Nassau,Unknown,2
Niagara,Unknown,3.9
Oneida,Unknown,1.8
Onondaga,Unknown,1.5
Ontario,Unknown,1.3
Kings,Unknown,3.3
Orange,Unknown,3.4
Orleans,Unknown,1.6
Oswego,Unknown,0.6
Otsego,Unknown,1.1
Putnam,Unknown,2.5
Rensselaer,Unknown,0.9
Rockland,Unknown,1.3
St. Lawrence,Unknown,1
Saratoga,Unknown,0.8
Schenectady,Unknown,2.3
New York,Unknown,3.6
Schoharie,Unknown,0.6
Schuyler,Unknown,1
Seneca,Unknown,0
Steuben,Unknown,1.2
Suffolk,Unknown,1.9
Sullivan,Unknown,3.5
Tioga,Unknown,2.4
Tompkins,Unknown,1
Ulster,Unknown,3.2
Warren,Unknown,2.3
Queens,Unknown,3
Washington,Unknown,1.8
Wayne,Unknown,1.5
Westchester,Unknown,2.9
Wyoming,Unknown,4
Yates,Unknown,0.9
Richmond,Unknown,2.8
Albany,Unknown,1.4
Allegany,Unknown,2.3